Runs,Accuracy,Model,Dataset,,Slope,Slope of Slope,,,
90600,0.62584734,DNN,5/7/max -32,,,,,,
181200,0.60944676,DNN,5/7/max -32,,,,,,
271800,0.5031708,DNN,5/7/max -32,,,,,,
362400,0.5619943,DNN,5/7/max -32,,,,,,
453000,0.58539253,DNN,5/7/max -32,,,,,,
543600,0.6286901,DNN,5/7/max -32,,,,,,
634200,0.65646183,DNN,5/7/max -32,,,,,,
724800,0.6724251,DNN,5/7/max -32,,,,,,
815400,0.68576425,DNN,5/7/max -32,,,,,,
906000,0.7001968,DNN,5/7/max -32,,,,,,
996600,0.71266127,DNN,5/7/max -32,,,,,,
1087200,0.72490704,DNN,5/7/max -32,,,,,,
1177800,0.7336541,DNN,5/7/max -32,,,,,,
1268400,0.74415046,DNN,5/7/max -32,,,,,,
1359000,0.7574896,DNN,5/7/max -32,,,,,,
1449600,0.7668926,DNN,5/7/max -32,,,,,,
1540200,0.7749836,DNN,5/7/max -32,,,,,,
1630800,0.78154385,DNN,5/7/max -32,,,,,,
1721400,0.78504264,DNN,5/7/max -32,,,,,,
1812000,0.7905095,DNN,5/7/max -32,,,,,,
1902600,0.7977258,DNN,5/7/max -32,,,,,,
1993200,0.8012246,DNN,5/7/max -32,,,,,,
2083800,0.80363,DNN,5/7/max -32,,,,,,
2174400,0.8097529,DNN,5/7/max -32,,,,,,
2265000,0.81193966,DNN,5/7/max -32,,,,,,
2355600,0.81521976,DNN,5/7/max -32,,,,,,
2446200,0.81981194,DNN,5/7/max -32,,,,,,
2536800,0.82243603,DNN,5/7/max -32,,,,,,
2627400,0.8246228,DNN,5/7/max -32,,,,,,
2718000,0.8263722,DNN,5/7/max -32,,,,,,
2808600,0.8314017,DNN,5/7/max -32,,,,,,
2899200,0.8335885,DNN,5/7/max -32,,,,,,
2989800,0.8359939,DNN,5/7/max -32,,,,,,
3080400,0.8366499,DNN,5/7/max -32,,,,,,
3171000,0.8377433,DNN,5/7/max -32,,,,,,
3261600,0.837962,DNN,5/7/max -32,,,,,,
3352200,0.83971137,DNN,5/7/max -32,,,,,,
3442800,0.83993,DNN,5/7/max -32,,,,,,
3533400,0.8408047,DNN,5/7/max -32,,,,,,
3624000,0.8412421,DNN,5/7/max -32,,,,,,
3714600,0.8421168,DNN,5/7/max -32,,,,,,
3805200,0.84342885,DNN,5/7/max -32,,,,,,
3986400,0.84649026,DNN,5/7/max -32,,,,,,
4077000,0.84692764,DNN,5/7/max -32,,,,,,
91900,0.46675503,DNN,5/7/max -10,,,,,,
183800,0.45107135,DNN,5/7/max -10,,,,,,
275700,0.50762093,DNN,5/7/max -10,,,,,,
367600,0.5858184,DNN,5/7/max -10,,,,,,
459500,0.62027836,DNN,5/7/max -10,,,,,,
551400,0.646786,DNN,5/7/max -10,,,,,,
643300,0.66202784,DNN,5/7/max -10,,,,,,
735200,0.67528164,DNN,5/7/max -10,,,,,,
827100,0.68831456,DNN,5/7/max -10,,,,,,
919000,0.69560415,DNN,5/7/max -10,,,,,,
1010900,0.70289373,DNN,5/7/max -10,,,,,,
1102800,0.7101833,DNN,5/7/max -10,,,,,,
1194700,0.7139386,DNN,5/7/max -10,,,,,,
1286600,0.71658933,DNN,5/7/max -10,,,,,,
1378500,0.7141595,DNN,5/7/max -10,,,,,,
1470400,0.71769387,DNN,5/7/max -10,,,,,,
1562300,0.72167,DNN,5/7/max -10,,,,,,
1654200,0.7205655,DNN,5/7/max -10,,,,,,
1746100,0.70952064,DNN,5/7/max -10,,,,,,
1838000,0.7042191,DNN,5/7/max -10,,,,,,
1929900,0.70554453,DNN,5/7/max -10,,,,,,
2021800,0.70444,DNN,5/7/max -10,,,,,,
2113700,0.70532364,DNN,5/7/max -10,,,,,,
2205600,0.7031146,DNN,5/7/max -10,,,,,,
2297500,0.70488185,DNN,5/7/max -10,,,,,,
2389400,0.70444,DNN,5/7/max -10,,,,,,
2481300,0.70554453,DNN,5/7/max -10,,,,,,
2573200,0.71128786,DNN,5/7/max -10,,,,,,
2665100,0.719461,DNN,5/7/max -10,,,,,,
2757000,0.72962224,DNN,5/7/max -10,,,,,,
2848900,0.73624915,DNN,5/7/max -10,,,,,,
2940800,0.7413298,DNN,5/7/max -10,,,,,,
3032700,0.740888,DNN,5/7/max -10,,,,,,
3124600,0.74574775,DNN,5/7/max -10,,,,,,
3216500,0.7506075,DNN,5/7/max -10,,,,,,
3308400,0.747294,DNN,5/7/max -10,,,,,,
3400300,0.7501657,DNN,5/7/max -10,,,,,,
3492200,0.7488403,DNN,5/7/max -10,,,,,,
3584100,0.75281644,DNN,5/7/max -10,,,,,,
3676000,0.7543627,DNN,5/7/max -10,,,,,,
3767900,0.7548045,DNN,5/7/max -10,,,,,,
3859800,0.7565717,DNN,5/7/max -10,,,,,,
3951700,0.7570135,DNN,5/7/max -10,,,,,,
4043600,0.7572344,DNN,5/7/max -10,,,,,,
92200,0.5653403,DNN,34/7/5-34,,,,,,
184400,0.42096108,DNN,34/7/5-34,,,,,,
276600,0.38203958,DNN,34/7/5-34,,,,,,
368800,0.39726028,DNN,34/7/5-34,,,,,,
461000,0.44748858,DNN,34/7/5-34,,,,,,
553200,0.4885845,DNN,34/7/5-34,,,,,,
645400,0.52946293,DNN,34/7/5-34,,,,,,
737600,0.57295066,DNN,34/7/5-34,,,,,,
829800,0.5940422,DNN,34/7/5-34,,,,,,
922000,0.62600565,DNN,34/7/5-34,,,,,,
1014200,0.64535767,DNN,34/7/5-34,,,,,,
1106400,0.65644705,DNN,34/7/5-34,,,,,,
1198600,0.6666667,DNN,34/7/5-34,,,,,,
1290800,0.6788432,DNN,34/7/5-34,,,,,,
1383000,0.68732333,DNN,34/7/5-34,,,,,,
1475200,0.6916721,DNN,34/7/5-34,,,,,,
1567400,0.6923244,DNN,34/7/5-34,,,,,,
1659600,0.6899326,DNN,34/7/5-34,,,,,,
1751800,0.69580346,DNN,34/7/5-34,,,,,,
1844000,0.68580127,DNN,34/7/5-34,,,,,,
1936200,0.679713,DNN,34/7/5-34,,,,,,
2028400,0.6842792,DNN,34/7/5-34,,,,,,
2120600,0.6838443,DNN,34/7/5-34,,,,,,
2212800,0.6918895,DNN,34/7/5-34,,,,,,
2305000,0.704501,DNN,34/7/5-34,,,,,,
2397200,0.7197217,DNN,34/7/5-34,,,,,,
2489400,0.74472713,DNN,34/7/5-34,,,,,,
2581600,0.6449606,DNN,34/7/5-34,,,,,,
2673800,0.778865,DNN,34/7/5-34,,,,,,
2766000,0.7914764,DNN,34/7/5-34,,,,,,
2858200,0.8010437,DNN,34/7/5-34,,,,,,
2950400,0.8093064,DNN,34/7/5-34,,,,,,
3042600,0.8145249,DNN,34/7/5-34,,,,,,
3134800,0.8180039,DNN,34/7/5-34,,,,,,
3227000,0.8210481,DNN,34/7/5-34,,,,,,
3319200,0.82148296,DNN,34/7/5-34,,,,,,
3411400,0.8275712,DNN,34/7/5-34,,,,,,
3503600,0.83061534,DNN,34/7/5-34,,,,,,
3595800,0.83170253,DNN,34/7/5-34,,,,,,
3688000,0.83365947,DNN,34/7/5-34,,,,,,
3780200,0.8349641,DNN,34/7/5-34,,,,,,
3872400,0.8349641,DNN,34/7/5-34,,,,,,
3964600,0.83670366,DNN,34/7/5-34,,,,,,
4056800,0.83779085,DNN,34/7/5-34,,,,,,
4149000,0.8386606,DNN,34/7/5-34,,,,,,
92000,0.661749,DNN,34/7/5-32,,,,,,
184000,0.67671585,DNN,34/7/5-32,,,,,,
276000,0.69296557,DNN,34/7/5-32,,,,,,
368000,0.70301473,DNN,34/7/5-32,,,,,,
460000,0.728886,DNN,34/7/5-32,,,,,,
552000,0.7568954,DNN,34/7/5-32,,,,,,
644000,0.7810562,DNN,34/7/5-32,,,,,,
736000,0.7926021,DNN,34/7/5-32,,,,,,
828000,0.7988027,DNN,34/7/5-32,,,,,,
920000,0.8103485,DNN,34/7/5-32,,,,,,
1012000,0.81676286,DNN,34/7/5-32,,,,,,
1104000,0.82125294,DNN,34/7/5-32,,,,,,
1196000,0.8259568,DNN,34/7/5-32,,,,,,
1288000,0.8353645,DNN,34/7/5-32,,,,,,
1380000,0.8379303,DNN,34/7/5-32,,,,,,
1472000,0.8398546,DNN,34/7/5-32,,,,,,
1564000,0.8387855,DNN,34/7/5-32,,,,,,
1656000,0.842848,DNN,34/7/5-32,,,,,,
1748000,0.8443447,DNN,34/7/5-32,,,,,,
1840000,0.8464828,DNN,34/7/5-32,,,,,,
1932000,0.8477657,DNN,34/7/5-32,,,,,,
2024000,0.8484071,DNN,34/7/5-32,,,,,,
2116000,0.8486209,DNN,34/7/5-32,,,,,,
2208000,0.8469104,DNN,34/7/5-32,,,,,,
2300000,0.84904855,DNN,34/7/5-32,,,,,,
2392000,0.8484071,DNN,34/7/5-32,,,,,,
2484000,0.8520419,DNN,34/7/5-32,,,,,,
2576000,0.85418004,DNN,34/7/5-32,,,,,,
2668000,0.847338,DNN,34/7/5-32,,,,,,
2760000,0.84990376,DNN,34/7/5-32,,,,,,
2852000,0.8503314,DNN,34/7/5-32,,,,,,
2944000,0.8488347,DNN,34/7/5-32,,,,,,
3036000,0.85118663,DNN,34/7/5-32,,,,,,
3128000,0.8488347,DNN,34/7/5-32,,,,,,
91000,0.36988685,DNN,34/7/5-10,,,,,,
182000,0.37032202,DNN,34/7/5-10,,,,,,
273000,0.41100958,DNN,34/7/5-10,,,,,,
364000,0.5826806,DNN,34/7/5-10,,,,,,
455000,0.66362053,DNN,34/7/5-10,,,,,,
546000,0.6694952,DNN,34/7/5-10,,,,,,
637000,0.6718886,DNN,34/7/5-10,,,,,,
728000,0.6705831,DNN,34/7/5-10,,,,,,
819000,0.67754567,DNN,34/7/5-10,,,,,,
910000,0.67819846,DNN,34/7/5-10,,,,,,
1001000,0.67754567,DNN,34/7/5-10,,,,,,
1092000,0.66579634,DNN,34/7/5-10,,,,,,
1183000,0.65426457,DNN,34/7/5-10,,,,,,
1274000,0.6586162,DNN,34/7/5-10,,,,,,
1365000,0.65992165,DNN,34/7/5-10,,,,,,
1456000,0.6651436,DNN,34/7/5-10,,,,,,
1547000,0.6799391,DNN,34/7/5-10,,,,,,
1638000,0.6910357,DNN,34/7/5-10,,,,,,
1729000,0.6958225,DNN,34/7/5-10,,,,,,
1820000,0.6997389,DNN,34/7/5-10,,,,,,
1911000,0.69821584,DNN,34/7/5-10,,,,,,
2002000,0.69778067,DNN,34/7/5-10,,,,,,
2093000,0.69821584,DNN,34/7/5-10,,,,,,
2184000,0.6995213,DNN,34/7/5-10,,,,,,
2275000,0.7032202,DNN,34/7/5-10,,,,,,
2366000,0.70561355,DNN,34/7/5-10,,,,,,
2457000,0.70931244,DNN,34/7/5-10,,,,,,
2548000,0.71257615,DNN,34/7/5-10,,,,,,
2639000,0.7180157,DNN,34/7/5-10,,,,,,
2730000,0.72302,DNN,34/7/5-10,,,,,,
2821000,0.73281115,DNN,34/7/5-10,,,,,,
2912000,0.73607486,DNN,34/7/5-10,,,,,,
3003000,0.74499565,DNN,34/7/5-10,,,,,,
3094000,0.7569626,DNN,34/7/5-10,,,,,,
3185000,0.7647955,DNN,34/7/5-10,,,,,,
3276000,0.78111404,DNN,34/7/5-10,,,,,,
3367000,0.7930809,DNN,34/7/5-10,,,,,,
3458000,0.80548304,DNN,34/7/5-10,,,,,,
3549000,0.81766754,DNN,34/7/5-10,,,,,,
3640000,0.8244125,DNN,34/7/5-10,,,,,,
3731000,0.8305048,DNN,34/7/5-10,,,,,,
3822000,0.841819,DNN,34/7/5-10,,,,,,
3913000,0.84312445,DNN,34/7/5-10,,,,,,
4004000,0.8466057,DNN,34/7/5-10,,,,,,
4095000,0.8483464,DNN,34/7/5-10,,,,,,
92100,0.54455876,DNN,"1, 34",,,,,,
184200,0.54039854,DNN,"1, 34",,,,,,
276300,0.6282023,DNN,"1, 34",,,,,,
368400,0.5984235,DNN,"1, 34",,,,,,
460500,0.60543025,DNN,"1, 34",,,,,,
552600,0.6084957,DNN,"1, 34",,,,,,
644700,0.6538209,DNN,"1, 34",,,,,,
736800,0.68535143,DNN,"1, 34",,,,,,
828900,0.6947668,DNN,"1, 34",,,,,,
921000,0.71009415,DNN,"1, 34",,,,,,
1013100,0.722356,DNN,"1, 34",,,,,,
1105200,0.7269542,DNN,"1, 34",,,,,,
1197300,0.73834026,DNN,"1, 34",,,,,,
1289400,0.74228156,DNN,"1, 34",,,,,,
1381500,0.7468798,DNN,"1, 34",,,,,,
1473600,0.7501642,DNN,"1, 34",,,,,,
1565700,0.75695205,DNN,"1, 34",,,,,,
1657800,0.75760895,DNN,"1, 34",,,,,,
1749900,0.7624261,DNN,"1, 34",,,,,,
1842000,0.76549155,DNN,"1, 34",,,,,,
1934100,0.77140355,DNN,"1, 34",,,,,,
2026200,0.77490693,DNN,"1, 34",,,,,,
2118300,0.77709657,DNN,"1, 34",,,,,,
2210400,0.7821327,DNN,"1, 34",,,,,,
2302500,0.78476024,DNN,"1, 34",,,,,,
2394600,0.7873878,DNN,"1, 34",,,,,,
2486700,0.79023427,DNN,"1, 34",,,,,,
2578800,0.7937377,DNN,"1, 34",,,,,,
2670900,0.79505146,DNN,"1, 34",,,,,,
2763000,0.7983359,DNN,"1, 34",,,,,,
2855100,0.7994307,DNN,"1, 34",,,,,,
2947200,0.8040289,DNN,"1, 34",,,,,,
3039300,0.8059996,DNN,"1, 34",,,,,,
3131400,0.80840814,DNN,"1, 34",,,,,,
3223500,0.8108167,DNN,"1, 34",,,,,,
3315600,0.8125684,DNN,"1, 34",,,,,,
3407700,0.814977,DNN,"1, 34",,,,,,
3499800,0.8165097,DNN,"1, 34",,,,,,
3591900,0.81848043,DNN,"1, 34",,,,,,
3684000,0.8215459,DNN,"1, 34",,,,,,
3776100,0.8243924,DNN,"1, 34",,,,,,
3868200,0.826582,DNN,"1, 34",,,,,,
3960300,0.82877165,DNN,"1, 34",,,,,,
4052400,0.8318371,DNN,"1, 34",,,,,,
4144500,0.83315086,DNN,"1, 34",,,,,,
4236501,0.83687323,DNN,"1, 34",,,,,,
90600,0.65383774,DNN,"1, 32",,,,,,
181200,0.6938552,DNN,"1, 32",,,,,,
271800,0.7609884,DNN,"1, 32",,,,,,
362400,0.7924776,DNN,"1, 32",,,,,,
453000,0.81106496,DNN,"1, 32",,,,,,
543600,0.8252788,DNN,"1, 32",,,,,,
634200,0.8359939,DNN,"1, 32",,,,,,
724800,0.84495956,DNN,"1, 32",,,,,,
815400,0.85020775,DNN,"1, 32",,,,,,
906000,0.8539252,DNN,"1, 32",,,,,,
996600,0.86048543,DNN,"1, 32",,,,,,
1087200,0.8637656,DNN,"1, 32",,,,,,
1177800,0.8683578,DNN,"1, 32",,,,,,
1268400,0.8698885,DNN,"1, 32",,,,,,
1359000,0.8716379,DNN,"1, 32",,,,,,
1449600,0.8729499,DNN,"1, 32",,,,,,
1540200,0.8729499,DNN,"1, 32",,,,,,
1630800,0.87448066,DNN,"1, 32",,,,,,
1721400,0.874918,DNN,"1, 32",,,,,,
1812000,0.8757927,DNN,"1, 32",,,,,,
1902600,0.87623006,DNN,"1, 32",,,,,,
1993200,0.87644875,DNN,"1, 32",,,,,,
2083800,0.87688607,DNN,"1, 32",,,,,,
2174400,0.87776077,DNN,"1, 32",,,,,,
2265000,0.87907284,DNN,"1, 32",,,,,,
2355600,0.87994754,DNN,"1, 32",,,,,,
2446200,0.87951016,DNN,"1, 32",,,,,,
2536800,0.87972885,DNN,"1, 32",,,,,,
2627400,0.88082224,DNN,"1, 32",,,,,,
2718000,0.88235295,DNN,"1, 32",,,,,,
2808600,0.88322765,DNN,"1, 32",,,,,,
2899200,0.88366497,DNN,"1, 32",,,,,,
2989800,0.88497704,DNN,"1, 32",,,,,,
3080400,0.88541436,DNN,"1, 32",,,,,,
3171000,0.88519573,DNN,"1, 32",,,,,,
3261600,0.88519573,DNN,"1, 32",,,,,,
3352200,0.88563305,DNN,"1, 32",,,,,,
3442800,0.88585174,DNN,"1, 32",,,,,,
3533400,0.88672644,DNN,"1, 32",,,,,,
3624000,0.88716376,DNN,"1, 32",,,,,,
3714600,0.88672644,DNN,"1, 32",,,,,,
3805200,0.88650775,DNN,"1, 32",,,,,,
3895800,0.88672644,DNN,"1, 32",,,,,,
3986400,0.88650775,DNN,"1, 32",,,,,,
4077000,0.8869451,DNN,"1, 32",,,,,,
91900,0.46498784,DNN,"1, 10",,,,,,
183800,0.6019439,DNN,"1, 10",,,,,,
275700,0.68124586,DNN,"1, 10",,,,,,
367600,0.7309477,DNN,"1, 10",,,,,,
459500,0.7643031,DNN,"1, 10",,,,,,
551400,0.7830793,DNN,"1, 10",,,,,,
643300,0.80008835,DNN,"1, 10",,,,,,
735200,0.8120168,DNN,"1, 10",,,,,,
827100,0.82018995,DNN,"1, 10",,,,,,
919000,0.8246079,DNN,"1, 10",,,,,,
1010900,0.82725865,DNN,"1, 10",,,,,,
1102800,0.8314557,DNN,"1, 10",,,,,,
1194700,0.83388555,DNN,"1, 10",,,,,,
1286600,0.83609456,DNN,"1, 10",,,,,,
1378500,0.8378617,DNN,"1, 10",,,,,,
1470400,0.83984977,DNN,"1, 10",,,,,,
1562300,0.8409543,DNN,"1, 10",,,,,,
1654200,0.84382594,DNN,"1, 10",,,,,,
1746100,0.8447095,DNN,"1, 10",,,,,,
1838000,0.8451513,DNN,"1, 10",,,,,,
1929900,0.8464767,DNN,"1, 10",,,,,,
2021800,0.8475812,DNN,"1, 10",,,,,,
2113700,0.8491275,DNN,"1, 10",,,,,,
2205600,0.84956926,DNN,"1, 10",,,,,,
2297500,0.8513364,DNN,"1, 10",,,,,,
2389400,0.8524409,DNN,"1, 10",,,,,,
2481300,0.85222,DNN,"1, 10",,,,,,
2573200,0.8526618,DNN,"1, 10",,,,,,
2665100,0.8526618,DNN,"1, 10",,,,,,
2757000,0.8528827,DNN,"1, 10",,,,,,
2848900,0.85354537,DNN,"1, 10",,,,,,
2940800,0.85376626,DNN,"1, 10",,,,,,
3032700,0.8539872,DNN,"1, 10",,,,,,
3124600,0.8539872,DNN,"1, 10",,,,,,
3216500,0.8542081,DNN,"1, 10",,,,,,
3308400,0.8542081,DNN,"1, 10",,,,,,
3400300,0.8539872,DNN,"1, 10",,,,,,
3492200,0.8539872,DNN,"1, 10",,,,,,
3584100,0.854429,DNN,"1, 10",,,,,,
3676000,0.8550917,DNN,"1, 10",,,,,,
3767900,0.8550917,DNN,"1, 10",,,,,,
3859800,0.8555335,DNN,"1, 10",,,,,,
3951700,0.85641706,DNN,"1, 10",,,,,,
4043600,0.8559753,DNN,"1, 10",,,,,,
91100,0.3743103,DNN,5/7/less -34,,,,,,
182200,0.43522403,DNN,5/7/less -34,,,,,,
273300,0.53498125,DNN,5/7/less -34,,,,,,
364400,0.60847497,DNN,5/7/less -34,,,,,,
455500,0.6497462,DNN,5/7/less -34,,,,,,
546600,0.66762304,DNN,5/7/less -34,,,,,,
637700,0.67909956,DNN,5/7/less -34,,,,,,
728800,0.67998236,DNN,5/7/less -34,,,,,,
819900,0.6852792,DNN,5/7/less -34,,,,,,
911000,0.69123816,DNN,5/7/less -34,,,,,,
1002100,0.6980799,DNN,5/7/less -34,,,,,,
1093200,0.70050764,DNN,5/7/less -34,,,,,,
1184300,0.70381814,DNN,5/7/less -34,,,,,,
1275400,0.70558375,DNN,5/7/less -34,,,,,,
1366500,0.7088943,DNN,5/7/less -34,,,,,,
1457600,0.7104392,DNN,5/7/less -34,,,,,,
1548700,0.7137497,DNN,5/7/less -34,,,,,,
1639800,0.71683955,DNN,5/7/less -34,,,,,,
1730900,0.71838444,DNN,5/7/less -34,,,,,,
1822000,0.72015005,DNN,5/7/less -34,,,,,,
1913100,0.72544694,DNN,5/7/less -34,,,,,,
2004200,0.7294195,DNN,5/7/less -34,,,,,,
2095300,0.7344957,DNN,5/7/less -34,,,,,,
2186400,0.73824763,DNN,5/7/less -34,,,,,,
2277500,0.74442726,DNN,5/7/less -34,,,,,,
2368600,0.7477378,DNN,5/7/less -34,,,,,,
2459700,0.75325537,DNN,5/7/less -34,,,,,,
2550800,0.75987643,DNN,5/7/less -34,,,,,,
2641900,0.76605606,DNN,5/7/less -34,,,,,,
2733000,0.774222,DNN,5/7/less -34,,,,,,
2824100,0.7812845,DNN,5/7/less -34,,,,,,
2915200,0.7839329,DNN,5/7/less -34,,,,,,
3006300,0.78834695,DNN,5/7/less -34,,,,,,
3097400,0.7914368,DNN,5/7/less -34,,,,,,
3188500,0.7954094,DNN,5/7/less -34,,,,,,
3279600,0.79871994,DNN,5/7/less -34,,,,,,
3370700,0.8015891,DNN,5/7/less -34,,,,,,
3461800,0.8051203,DNN,5/7/less -34,,,,,,
3552900,0.8093136,DNN,5/7/less -34,,,,,,
3644000,0.81063783,DNN,5/7/less -34,,,,,,
3735100,0.81328624,DNN,5/7/less -34,,,,,,
3826200,0.8161554,DNN,5/7/less -34,,,,,,
3917300,0.8196866,DNN,5/7/less -34,,,,,,
4008400,0.8210108,DNN,5/7/less -34,,,,,,
4099500,0.822335,DNN,5/7/less -34,,,,,,
90600,0.61032146,DNN,5/7/less -32,,,,,,
181200,0.6549311,DNN,5/7/less -32,,,,,,
271800,0.6938552,DNN,5/7/less -32,,,,,,
362400,0.7277498,DNN,5/7/less -32,,,,,,
453000,0.7583643,DNN,5/7/less -32,,,,,,
543600,0.7647059,DNN,5/7/less -32,,,,,,
634200,0.77651435,DNN,5/7/less -32,,,,,,
724800,0.78613603,DNN,5/7/less -32,,,,,,
815400,0.7940083,DNN,5/7/less -32,,,,,,
906000,0.802974,DNN,5/7/less -32,,,,,,
996600,0.81019026,DNN,5/7/less -32,,,,,,
1087200,0.81740654,DNN,5/7/less -32,,,,,,
1177800,0.82484144,DNN,5/7/less -32,,,,,,
1268400,0.829871,DNN,5/7/less -32,,,,,,
1359000,0.8327138,DNN,5/7/less -32,,,,,,
1449600,0.8368686,DNN,5/7/less -32,,,,,,
1540200,0.8394927,DNN,5/7/less -32,,,,,,
1630800,0.8425541,DNN,5/7/less -32,,,,,,
1721400,0.84408486,DNN,5/7/less -32,,,,,,
1812000,0.8462716,DNN,5/7/less -32,,,,,,
1902600,0.84758365,DNN,5/7/less -32,,,,,,
1993200,0.85064507,DNN,5/7/less -32,,,,,,
2083800,0.85239446,DNN,5/7/less -32,,,,,,
2174400,0.85348785,DNN,5/7/less -32,,,,,,
2265000,0.8556746,DNN,5/7/less -32,,,,,,
2355600,0.85720533,DNN,5/7/less -32,,,,,,
2446200,0.85808,DNN,5/7/less -32,,,,,,
2536800,0.8593921,DNN,5/7/less -32,,,,,,
2627400,0.86048543,DNN,5/7/less -32,,,,,,
2718000,0.8611415,DNN,5/7/less -32,,,,,,
2808600,0.8611415,DNN,5/7/less -32,,,,,,
2899200,0.8620162,DNN,5/7/less -32,,,,,,
2989800,0.8620162,DNN,5/7/less -32,,,,,,
3080400,0.8631095,DNN,5/7/less -32,,,,,,
3171000,0.8637656,DNN,5/7/less -32,,,,,,
3261600,0.8642029,DNN,5/7/less -32,,,,,,
3352200,0.865515,DNN,5/7/less -32,,,,,,
3442800,0.8657337,DNN,5/7/less -32,,,,,,
3533400,0.866171,DNN,5/7/less -32,,,,,,
3624000,0.8672644,DNN,5/7/less -32,,,,,,
3714600,0.8672644,DNN,5/7/less -32,,,,,,
3805200,0.8666084,DNN,5/7/less -32,,,,,,
3895800,0.8679204,DNN,5/7/less -32,,,,,,
91900,0.723658,DNN,5/7/less-10,,,,,,
183800,0.7338193,DNN,5/7/less-10,,,,,,
275700,0.7702673,DNN,5/7/less-10,,,,,,
367600,0.7848465,DNN,5/7/less-10,,,,,,
459500,0.7981003,DNN,5/7/less-10,,,,,,
551400,0.8080406,DNN,5/7/less-10,,,,,,
643300,0.81665564,DNN,5/7/less-10,,,,,,
735200,0.8186437,DNN,5/7/less-10,,,,,,
827100,0.81974816,DNN,5/7/less-10,,,,,,
919000,0.82063174,DNN,5/7/less-10,,,,,,
1010900,0.8212944,DNN,5/7/less-10,,,,,,
1102800,0.8212944,DNN,5/7/less-10,,,,,,
1194700,0.8217363,DNN,5/7/less-10,,,,,,
1286600,0.8219572,DNN,5/7/less-10,,,,,,
1378500,0.82217807,DNN,5/7/less-10,,,,,,
1470400,0.82041085,DNN,5/7/less-10,,,,,,
1562300,0.82085264,DNN,5/7/less-10,,,,,,
1654200,0.82107353,DNN,5/7/less-10,,,,,,
1746100,0.82217807,DNN,5/7/less-10,,,,,,
1838000,0.82284075,DNN,5/7/less-10,,,,,,
1929900,0.824387,DNN,5/7/less-10,,,,,,
2021800,0.8246079,DNN,5/7/less-10,,,,,,
2113700,0.8250497,DNN,5/7/less-10,,,,,,
2205600,0.8241661,DNN,5/7/less-10,,,,,,
2297500,0.8248288,DNN,5/7/less-10,,,,,,
2389400,0.8246079,DNN,5/7/less-10,,,,,,
2481300,0.8241661,DNN,5/7/less-10,,,,,,
2573200,0.82328254,DNN,5/7/less-10,,,,,,
2665100,0.82284075,DNN,5/7/less-10,,,,,,
2757000,0.82261986,DNN,5/7/less-10,,,,,,
2848900,0.82041085,DNN,5/7/less-10,,,,,,
2940800,0.8193064,DNN,5/7/less-10,,,,,,
3032700,0.82041085,DNN,5/7/less-10,,,,,,
3124600,0.8190855,DNN,5/7/less-10,,,,,,
3216500,0.81996906,DNN,5/7/less-10,,,,,,
3308400,0.82063174,DNN,5/7/less-10,,,,,,
3400300,0.82107353,DNN,5/7/less-10,,,,,,
3492200,0.81996906,DNN,5/7/less-10,,,,,,
3584100,0.8241661,DNN,5/7/less-10,,,,,,
3676000,0.8237243,DNN,5/7/less-10,,,,,,
3767900,0.8241661,DNN,5/7/less-10,,,,,,
3859800,0.824387,DNN,5/7/less-10,,,,,,
3951700,0.8252706,DNN,5/7/less-10,,,,,,
4043600,0.8259333,DNN,5/7/less-10,,,,,,
